Episode:720, reward-263.2, passenger18
Episode:721, reward-189.7, passenger24
Episode:722, reward38.9, passenger42
Episode:723, reward-31.5, passenger40
Episode:724, reward-70.8, passenger34
Episode:725, reward-416.9, passenger2
Episode:726, reward-328.9, passenger9
Episode:727, reward-186.3, passenger22
Episode:728, reward-274.5, passenger13
Episode:729, reward-285.4, passenger12
Episode:730, reward15.1, passenger47
Episode:731, reward-118.1, passenger29
Episode:732, reward-9.3, passenger37
Episode:733, reward-248.6, passenger20
Episode:734, reward-201.2, passenger26
Episode:735, reward116.4, passenger52
Episode:736, reward222.5, passenger64
Episode:737, reward-64.5, passenger43
Episode:738, reward-206.0, passenger23
Episode:739, reward-35.3, passenger38
Episode:740, reward-188.6, passenger26
Episode:741, reward-221.4, passenger22
Episode:742, reward-198.2, passenger20
Episode:743, reward-81.3, passenger37
Episode:744, reward-365.4, passenger4
Episode:745, reward19.0, passenger41
Episode:746, reward-61.5, passenger37
Episode:747, reward127.8, passenger58
Episode:748, reward-287.3, passenger11
Episode:749, reward-331.6, passenger9
Episode:750, reward-73.0, passenger30
Episode:751, reward-123.2, passenger32
Episode:752, reward84.4, passenger47
Episode:753, reward261.0, passenger62
Episode:754, reward-378.0, passenger4
Episode:755, reward-278.6, passenger17
Episode:756, reward-163.7, passenger23
Episode:757, reward277.8, passenger64
Episode:758, reward-236.2, passenger18
Episode:759, reward22.4, passenger39
Episode:760, reward453.8, passenger87
Episode:761, reward-288.4, passenger18
Episode:762, reward192.4, passenger56
Episode:763, reward53.8, passenger47
Episode:764, reward55.7, passenger48
Episode:765, reward46.7, passenger48
Episode:766, reward215.1, passenger58
Episode:767, reward-135.0, passenger31
Episode:768, reward-157.8, passenger28
Episode:769, reward-282.9, passenger19
Episode:770, reward22.8, passenger43
Episode:771, reward-163.1, passenger29
Episode:772, reward-170.6, passenger26
Episode:773, reward-357.0, passenger7
Episode:774, reward-36.3, passenger37
Episode:775, reward-208.3, passenger18
Episode:776, reward-194.1, passenger25
Episode:777, reward-136.8, passenger31
Episode:778, reward-459.2, passenger1
Episode:779, reward-77.8, passenger36
Episode:780, reward-26.7, passenger43
Episode:781, reward24.7, passenger44
Episode:782, reward-201.1, passenger27
Episode:783, reward-445.0, passenger0
Episode:784, reward-336.0, passenger10
Episode:785, reward-1.9, passenger39
Episode:786, reward-179.0, passenger23
